,RSI,BB_Dist,MACD_6_13_4,MACDh_6_13_4,MACDs_6_13_4,STOCHk_5_3_1,STOCHd_5_3_1,OBV,ATR,Golden_Cross,ADX,CCI,ROC,CMF,ADL
0,26.816458046771082,-2.392904460243642,-0.6398302211302109,-0.977413776501133,0.3375835553709221,12.898230954094439,17.007665847784093,-240801500.0,6.212321799879146,0.0,11.75542222667731,-65.13979867791899,2.0932935832374975,0.1824282036877239,236274458.48398757
1,67.04747085046691,9.70471280825376,8.625845220949543,-1.6053631949232496,10.231208415872793,53.21163377811686,58.99969840657027,93942200.0,9.288239135666922,0.0,40.124780458478355,83.8724791561076,3.999596975755189,0.14330569309030486,87823339.82399544
2,74.79577049622546,14.986368469538746,2.8527630489583657,0.5120821482351876,2.340680900723178,57.462114336320184,53.26767821771299,199411500.0,5.85599625057131,0.0,16.609087691012636,181.93993554077335,10.753173754961727,-0.10294864502469091,-108273532.59320858
3,52.743117628232596,6.036266313249257,2.673543165836861,-0.9485136845103384,3.6220568503471995,44.77179262455336,28.883302308053377,-98131600.0,6.53086461142668,0.0,18.877855580516027,50.80542685354647,5.737195005940108,0.12041313982892687,131705867.02516887
4,63.39286926663028,33.97837925913899,13.02319243850036,-2.078257887520932,15.101450326021292,40.88984694642866,33.281139032841786,784677100.0,16.529644224069823,0.0,34.74863999730377,77.82916771951592,19.73878230987695,0.2569103030265946,974583564.0756181
5,64.80631553436857,12.320706078068469,4.423045161504518,-0.7537561894092146,5.176801350913733,32.892897154380464,36.15897711432038,64822000.0,4.8725807153713765,0.0,27.881700934946103,79.28330531272555,13.172019019078427,0.35151300040481565,1983258649.1796145
6,58.92617316102116,23.06132882686495,12.21103120534849,-3.2199540817510393,15.43098528709953,50.928654956803975,36.97283065724127,-21424900.0,20.46265548833004,0.0,28.65277611152064,64.00564128741244,6.448052194595601,0.1874966402107625,19735994.6101734
7,29.80304687430751,1.832060128916794,-3.567817847444985,-0.1970590816167297,-3.3707587658282554,7.955453221183215,35.51302182604517,-82500.0,9.631477653563833,0.0,28.160657699892273,-96.60475018419363,-1.8860190308390161,-0.0077959951787040125,11339.610707354965
8,44.30917685120019,6.1651190883096945,2.8980144841172546,-1.1024674921972855,4.00048197631454,18.76974971757705,23.90120138256229,69579300.0,5.858729635795124,0.0,24.20103829292877,45.501628763220396,2.840577651144605,0.08468621004704488,11968940.68707343
9,51.57949096540149,6.3696571546944085,-0.2757947485801253,0.3007636010864494,-0.5765583496665747,65.06727350472408,80.88792236748107,-14552000.0,2.936814123352442,0.0,13.335509663811704,-34.086883571598676,-1.9594006038818061,0.11042342465768022,24593640.55174997
