RSI,BB_Dist,MACD_6_13_4,MACDh_6_13_4,MACDs_6_13_4,STOCHk_5_3_1,STOCHd_5_3_1,OBV,ATR,Golden_Cross,ADX,CCI,ROC,CMF,ADL
55.7809363126465,2.472204696018622,1.1503148742948213,-0.36839080459202034,1.5187056788868416,80.2703694691999,51.21824791465144,22084100.0,3.5361734365270494,0.0,13.690966557741689,50.025254108136686,1.6789520780819205,0.19754562876039305,6605288.70446863
30.652163436116346,0.6215286595093659,-0.8504284913504563,-0.41301877146810645,-0.43740971988234983,22.134452311737814,28.585424680448103,1080400.0,1.7549645166722165,0.0,18.370173534671697,-205.81952261022397,-5.296262177032988,-0.0034347043206114326,2471250.3939946443
52.716509087512605,3.165028586904242,0.0663511407389592,-0.06746819801003626,0.13381933874899546,70.96805949578929,47.46564491090411,26119900.0,2.577697713094266,0.0,10.432025626810002,-10.278418624813881,3.336969995636955,0.022039236785684438,7407707.3814307945
56.659110692070335,5.29212496218571,-0.2879268180125223,0.30480471039325785,-0.5927315284057801,82.6153094951923,75.43088693451504,6831300.0,5.105260123457138,0.0,25.0258673833195,-23.618985358066272,4.610004825987548,0.11487142585163174,47313968.49700883
57.46445383090111,6.224650945536382,1.2400070578355553,-0.34254996019796535,1.5825570180335207,87.10255732825786,63.90188177547791,15821200.0,6.405647915303779,0.0,20.719721761680873,37.92409477584822,-0.8364260307575961,0.1531156048322064,19075349.462800287
61.499346677410664,10.453802890007012,5.258151728480982,-1.1803079950599829,6.438459723540965,57.76736237281977,42.525864491868,13810400.0,8.208639467378116,0.0,41.5965754485025,64.50699236121217,3.4771031838221313,-0.04324225459751121,4336771.324054078
55.729282311420775,1.2807345472052418,1.6976192581416427,-0.4062511559812929,2.1038704141229356,68.10671842115212,70.46816036634142,182373900.0,4.3291581152192835,0.0,27.544861962041654,52.19022271511592,-3.9840319340579744,-0.20550236901294228,-98032480.35150732
39.424613086700475,1.4041567807942474,-0.3586910503605001,-0.054938644939135806,-0.3037524054213643,90.76930751466459,44.619568254822724,-80901800.0,0.5199227844913179,0.0,30.006194665058345,-68.50801569557419,-19.72843591628751,0.046643560427870615,-8665979.1777912
42.02526033496975,2.561104036257248,-0.763948069653523,-0.03263072269908429,-0.7313173469544387,51.35129562169221,33.410394190913586,-2768200.0,1.9500548860209532,0.0,34.34072091841362,-117.34017012596738,-0.5027098783284825,-0.110586288054586,999069.9004745472
64.3443610191245,4.15483942892709,0.45682328329340294,0.1204992688116413,0.33632401448176164,62.60080877749697,63.5459504963081,1536300.0,3.551722622372864,0.0,11.085585533190464,107.73479366488739,1.578194215575144,0.04917894778996308,539951.2240698999
