종목,상승여부
3M,상승
A- O- Smith,상승
Abbott Laboratories,상승
AbbVie,상승
Accenture,상승
Adobe Inc-,상승
Advanced Micro Devices,상승
AES Corporation,상승
Aflac,상승
Agilent Technologies,상승
Air Products,상승
Airbnb,하락
Akamai Technologies,하락
Albemarle Corporation,하락
Alexandria Real Estate Equities,상승
Align Technology,상승
Allegion,상승
Alliant Energy,상승
Allstate,상승
Alphabet Inc- (Class A),하락
Alphabet Inc- (Class C),하락
Altria,상승
Amazon,상승
Amcor,상승
Ameren,상승
American Electric Power,상승
American Express,상승
American International Group,상승
American Tower,상승
American Water Works,상승
Ameriprise Financial,하락
Ametek,상승
Amgen,상승
Amphenol,상승
Analog Devices,상승
Ansys,하락
Aon plc,상승
APA Corporation,상승
Apollo Global Management,상승
Apple Inc-,하락
Applied Materials,하락
Aptiv,상승
Arch Capital Group,상승
Archer Daniels Midland,상승
Arista Networks,하락
Arthur J- Gallagher & Co-,상승
Assurant,상승
AT&T,하락
Atmos Energy,상승
Autodesk,하락
Automatic Data Processing,하락
AutoZone,하락
AvalonBay Communities,상승
Avery Dennison,상승
Axon Enterprise,하락
Baker Hughes,상승
Ball Corporation,상승
Bank of America,상승
Baxter International,상승
Becton Dickinson,상승
Berkshire Hathaway,상승
Best Buy,하락
Bio-Techne,상승
Biogen,상승
BlackRock,상승
Blackstone Inc-,상승
BNY Mellon,상승
Boeing,상승
Booking Holdings,상승
Boston Scientific,하락
Bristol Myers Squibb,상승
Broadcom,상승
Broadridge Financial Solutions,하락
Brown & Brown,상승
Brown–Forman,상승
Builders FirstSource,상승
Bunge Global,하락
"BXP, Inc-",상승
C-H- Robinson,상승
Cadence Design Systems,하락
Caesars Entertainment,하락
Camden Property Trust,상승
Campbell's Company (The),상승
Capital One,하락
Cardinal Health,상승
CarMax,상승
Carnival,상승
Carrier Global,상승
Caterpillar Inc-,상승
Cboe Global Markets,상승
CBRE Group,상승
CDW Corporation,하락
Cencora,상승
Centene Corporation,상승
CenterPoint Energy,하락
CF Industries,하락
Charles River Laboratories,상승
Charles Schwab Corporation,하락
Charter Communications,하락
Chevron Corporation,상승
Chipotle Mexican Grill,하락
Chubb Limited,상승
Church & Dwight,상승
Cigna,상승
Cincinnati Financial,상승
Cintas,하락
Cisco,하락
Citigroup,상승
Citizens Financial Group,상승
Clorox,상승
CME Group,하락
CMS Energy,상승
Coca-Cola Company (The),상승
Cognizant,상승
Coinbase,하락
Colgate-Palmolive,상승
Comcast,하락
Conagra Brands,하락
ConocoPhillips,상승
Consolidated Edison,상승
Constellation Brands,상승
Constellation Energy,하락
Cooper Companies (The),하락
Copart,하락
Corning Inc-,상승
Corpay,상승
Corteva,하락
CoStar Group,하락
Costco,하락
Coterra,상승
CrowdStrike,하락
Crown Castle,상승
CSX Corporation,상승
Cummins,상승
CVS Health,상승
Danaher Corporation,상승
Darden Restaurants,하락
DaVita,하락
Dayforce,상승
Deckers Brands,상승
Deere & Company,하락
Dell Technologies,하락
Delta Air Lines,하락
Devon Energy,상승
Dexcom,하락
Diamondback Energy,상승
Digital Realty,상승
Dollar General,하락
Dollar Tree,상승
Dominion Energy,상승
Domino's,하락
DoorDash,하락
Dover Corporation,상승
Dow Inc-,상승
D- R- Horton,상승
DTE Energy,상승
Duke Energy,상승
DuPont,상승
Eastman Chemical Company,상승
Eaton Corporation,하락
eBay Inc-,상승
Ecolab,상승
Edison International,상승
Edwards Lifesciences,상승
Electronic Arts,하락
Elevance Health,상승
Emerson Electric,상승
Enphase Energy,상승
Entergy,상승
EOG Resources,하락
EPAM Systems,하락
EQT Corporation,하락
Equifax,상승
Equinix,상승
Equity Residential,상승
Erie Indemnity,상승
Essex Property Trust,상승
Estée Lauder Companies (The),상승
Everest Group,상승
Evergy,상승
Eversource Energy,상승
Exelon,상승
Expand Energy,상승
Expedia Group,하락
Expeditors International,상승
Extra Space Storage,상승
ExxonMobil,상승
"F5, Inc-",하락
FactSet,상승
Fair Isaac,상승
Fastenal,하락
Federal Realty Investment Trust,상승
FedEx,상승
Fidelity National Information Services,하락
Fifth Third Bancorp,상승
First Solar,하락
FirstEnergy,상승
Fiserv,하락
Ford Motor Company,상승
Fortinet,하락
Fortive,하락
Fox Corporation (Class A),하락
Fox Corporation (Class B),하락
Franklin Resources,상승
Freeport-McMoRan,상승
Garmin,상승
Gartner,상승
GE Aerospace,상승
GE HealthCare,상승
GE Vernova,하락
Gen Digital,하락
Generac,하락
General Dynamics,상승
General Mills,상승
General Motors,상승
Genuine Parts Company,상승
Gilead Sciences,상승
Global Payments,상승
Globe Life,상승
GoDaddy,상승
Goldman Sachs,하락
Halliburton,상승
Hartford (The),상승
