종목,상승여부
3M,상승
A- O- Smith,상승
Abbott Laboratories,상승
AbbVie,상승
Accenture,하락
Adobe Inc-,상승
Advanced Micro Devices,상승
AES Corporation,상승
Aflac,상승
Agilent Technologies,상승
Air Products,상승
Airbnb,상승
Akamai Technologies,상승
Albemarle Corporation,상승
Alexandria Real Estate Equities,상승
Align Technology,상승
Allegion,하락
Alliant Energy,하락
Allstate,하락
Alphabet Inc- (Class A),하락
Alphabet Inc- (Class C),하락
Altria,하락
Amazon,하락
Amcor,상승
Ameren,상승
American Electric Power,하락
American Express,상승
American International Group,하락
American Tower,하락
American Water Works,하락
Ameriprise Financial,상승
Ametek,상승
Amgen,상승
Amphenol,상승
Analog Devices,상승
Ansys,상승
Aon plc,하락
APA Corporation,상승
Apollo Global Management,상승
Apple Inc-,상승
Applied Materials,상승
Aptiv,상승
Arch Capital Group,하락
Archer Daniels Midland,하락
Arista Networks,상승
Arthur J- Gallagher & Co-,하락
Assurant,상승
AT&T,상승
Atmos Energy,하락
Autodesk,상승
Automatic Data Processing,상승
AutoZone,하락
AvalonBay Communities,하락
Avery Dennison,상승
Axon Enterprise,상승
Baker Hughes,상승
Ball Corporation,상승
Bank of America,상승
Baxter International,상승
Becton Dickinson,상승
Berkshire Hathaway,하락
Best Buy,상승
Bio-Techne,상승
Biogen,상승
BlackRock,상승
Blackstone Inc-,상승
BNY Mellon,상승
Boeing,상승
Booking Holdings,하락
Boston Scientific,하락
Bristol Myers Squibb,하락
Broadcom,상승
Broadridge Financial Solutions,상승
Brown & Brown,하락
Brown–Forman,상승
Builders FirstSource,상승
Bunge Global,하락
"BXP, Inc-",상승
C-H- Robinson,상승
Cadence Design Systems,상승
Caesars Entertainment,상승
Camden Property Trust,하락
Campbell's Company (The),상승
Capital One,상승
Cardinal Health,상승
CarMax,상승
Carnival,상승
Carrier Global,상승
Caterpillar Inc-,상승
Cboe Global Markets,하락
CBRE Group,상승
CDW Corporation,상승
Cencora,하락
Centene Corporation,상승
CenterPoint Energy,하락
CF Industries,하락
Charles River Laboratories,상승
Charles Schwab Corporation,하락
Charter Communications,하락
Chevron Corporation,상승
Chipotle Mexican Grill,상승
Chubb Limited,하락
Church & Dwight,상승
Cigna,하락
Cincinnati Financial,하락
Cintas,상승
Cisco,상승
Citigroup,상승
Citizens Financial Group,상승
Clorox,하락
CME Group,하락
CMS Energy,상승
Coca-Cola Company (The),하락
Cognizant,상승
Coinbase,상승
Colgate-Palmolive,하락
Comcast,상승
Conagra Brands,하락
ConocoPhillips,상승
Consolidated Edison,하락
Constellation Brands,상승
Constellation Energy,하락
Cooper Companies (The),하락
Copart,상승
Corning Inc-,상승
Corpay,상승
Corteva,상승
CoStar Group,상승
Costco,하락
Coterra,상승
CrowdStrike,상승
Crown Castle,하락
CSX Corporation,상승
Cummins,상승
CVS Health,하락
Danaher Corporation,상승
Darden Restaurants,상승
DaVita,상승
Dayforce,상승
Deckers Brands,상승
Deere & Company,상승
Dell Technologies,상승
Delta Air Lines,상승
Devon Energy,상승
Dexcom,상승
Diamondback Energy,상승
Digital Realty,상승
Dollar General,상승
Dollar Tree,상승
Dominion Energy,하락
Domino's,하락
DoorDash,상승
Dover Corporation,상승
Dow Inc-,상승
D- R- Horton,상승
DTE Energy,하락
Duke Energy,하락
DuPont,상승
Eastman Chemical Company,상승
Eaton Corporation,상승
eBay Inc-,상승
Ecolab,상승
Edison International,상승
Edwards Lifesciences,하락
Electronic Arts,상승
Elevance Health,상승
Emerson Electric,상승
Enphase Energy,상승
Entergy,하락
EOG Resources,상승
EPAM Systems,상승
EQT Corporation,하락
Equifax,상승
Equinix,상승
Equity Residential,하락
Erie Indemnity,상승
Essex Property Trust,하락
Estée Lauder Companies (The),상승
Everest Group,하락
Evergy,하락
Eversource Energy,상승
Exelon,하락
Expand Energy,하락
Expedia Group,상승
Expeditors International,상승
Extra Space Storage,하락
ExxonMobil,상승
"F5, Inc-",상승
FactSet,하락
Fair Isaac,하락
Fastenal,상승
Federal Realty Investment Trust,하락
FedEx,상승
Fidelity National Information Services,상승
Fifth Third Bancorp,상승
First Solar,상승
FirstEnergy,하락
Fiserv,상승
Ford Motor Company,상승
Fortinet,상승
Fortive,상승
Fox Corporation (Class A),상승
Fox Corporation (Class B),상승
Franklin Resources,상승
Freeport-McMoRan,상승
Garmin,상승
Gartner,상승
GE Aerospace,상승
GE HealthCare,상승
GE Vernova,상승
Gen Digital,상승
Generac,상승
General Dynamics,상승
General Mills,상승
General Motors,상승
Genuine Parts Company,하락
Gilead Sciences,상승
Global Payments,상승
Globe Life,상승
GoDaddy,하락
Goldman Sachs,상승
Halliburton,상승
Hartford (The),상승
