종목,상승여부
3M,상승
A- O- Smith,상승
Abbott Laboratories,상승
AbbVie,상승
Accenture,상승
Adobe Inc-,상승
Advanced Micro Devices,상승
AES Corporation,상승
Aflac,상승
Agilent Technologies,상승
Air Products,상승
Airbnb,상승
Akamai Technologies,상승
Albemarle Corporation,상승
Alexandria Real Estate Equities,상승
Align Technology,상승
Allegion,상승
Alliant Energy,상승
Allstate,상승
Alphabet Inc- (Class A),상승
Alphabet Inc- (Class C),상승
Altria,하락
Amazon,상승
Amcor,상승
Ameren,상승
American Electric Power,상승
American Express,상승
American International Group,상승
American Tower,상승
American Water Works,하락
Ameriprise Financial,상승
Ametek,상승
Amgen,상승
Amphenol,상승
Analog Devices,상승
Ansys,상승
Aon plc,상승
APA Corporation,상승
Apollo Global Management,상승
Apple Inc-,상승
Applied Materials,상승
Aptiv,상승
Arch Capital Group,상승
Archer Daniels Midland,상승
Arista Networks,상승
Arthur J- Gallagher & Co-,상승
Assurant,상승
AT&T,하락
Atmos Energy,상승
Autodesk,상승
Automatic Data Processing,상승
AutoZone,하락
AvalonBay Communities,상승
Avery Dennison,상승
Axon Enterprise,상승
Baker Hughes,상승
Ball Corporation,상승
Bank of America,상승
Baxter International,상승
Becton Dickinson,상승
Berkshire Hathaway,상승
Best Buy,상승
Bio-Techne,상승
Biogen,상승
BlackRock,상승
Blackstone Inc-,상승
BNY Mellon,상승
Boeing,하락
Booking Holdings,상승
Boston Scientific,상승
Bristol Myers Squibb,상승
Broadcom,상승
Broadridge Financial Solutions,상승
Brown & Brown,상승
Brown–Forman,상승
Builders FirstSource,상승
Bunge Global,상승
"BXP, Inc-",상승
C-H- Robinson,상승
Cadence Design Systems,상승
Caesars Entertainment,상승
Camden Property Trust,상승
Campbell's Company (The),상승
Capital One,상승
Cardinal Health,상승
CarMax,상승
Carnival,상승
Carrier Global,상승
Caterpillar Inc-,상승
Cboe Global Markets,하락
CBRE Group,상승
CDW Corporation,상승
Cencora,상승
Centene Corporation,상승
CenterPoint Energy,상승
CF Industries,상승
Charles River Laboratories,상승
Charles Schwab Corporation,상승
Charter Communications,상승
Chevron Corporation,상승
Chipotle Mexican Grill,상승
Chubb Limited,상승
Church & Dwight,상승
Cigna,하락
Cincinnati Financial,상승
Cintas,상승
Cisco,상승
Citigroup,상승
Citizens Financial Group,상승
Clorox,하락
CME Group,상승
CMS Energy,상승
Coca-Cola Company (The),상승
Cognizant,상승
Coinbase,상승
Colgate-Palmolive,하락
Comcast,상승
Conagra Brands,상승
ConocoPhillips,상승
Consolidated Edison,하락
Constellation Brands,상승
Constellation Energy,상승
Cooper Companies (The),상승
Copart,하락
Corning Inc-,상승
Corpay,상승
Corteva,상승
CoStar Group,상승
Costco,상승
Coterra,상승
CrowdStrike,상승
Crown Castle,상승
CSX Corporation,상승
Cummins,상승
CVS Health,상승
Danaher Corporation,상승
Darden Restaurants,상승
DaVita,상승
Dayforce,상승
Deckers Brands,상승
Deere & Company,하락
Dell Technologies,상승
Delta Air Lines,상승
Devon Energy,상승
Dexcom,상승
Diamondback Energy,상승
Digital Realty,상승
Dollar General,하락
Dollar Tree,상승
Dominion Energy,상승
Domino's,상승
DoorDash,하락
Dover Corporation,상승
Dow Inc-,상승
D- R- Horton,상승
DTE Energy,상승
Duke Energy,하락
DuPont,상승
Eastman Chemical Company,상승
Eaton Corporation,상승
eBay Inc-,상승
Ecolab,상승
Edison International,상승
Edwards Lifesciences,상승
Electronic Arts,상승
Elevance Health,상승
Emerson Electric,상승
Enphase Energy,상승
Entergy,하락
EOG Resources,상승
EPAM Systems,상승
EQT Corporation,상승
Equifax,하락
Equinix,상승
Equity Residential,상승
Erie Indemnity,상승
Essex Property Trust,상승
Estée Lauder Companies (The),상승
Everest Group,상승
Evergy,상승
Eversource Energy,상승
Exelon,상승
Expand Energy,상승
Expedia Group,상승
Expeditors International,상승
Extra Space Storage,상승
ExxonMobil,상승
"F5, Inc-",상승
FactSet,상승
Fair Isaac,하락
Fastenal,상승
Federal Realty Investment Trust,상승
FedEx,상승
Fidelity National Information Services,상승
Fifth Third Bancorp,상승
First Solar,하락
FirstEnergy,하락
Fiserv,상승
Ford Motor Company,하락
Fortinet,상승
Fortive,상승
Fox Corporation (Class A),상승
Fox Corporation (Class B),상승
Franklin Resources,상승
Freeport-McMoRan,상승
Garmin,상승
Gartner,상승
GE Aerospace,상승
GE HealthCare,상승
GE Vernova,상승
Gen Digital,상승
Generac,상승
General Dynamics,상승
General Mills,상승
General Motors,상승
Genuine Parts Company,상승
Gilead Sciences,상승
Global Payments,상승
Globe Life,상승
GoDaddy,하락
Goldman Sachs,상승
Halliburton,상승
Hartford (The),상승
