종목,상승여부
Marathon Petroleum,상승
MarketAxess,상승
Marriott International,상승
Marsh McLennan,상승
Martin Marietta Materials,하락
Masco,하락
Mastercard,상승
Match Group,하락
McCormick & Company,상승
McDonald's,상승
McKesson Corporation,상승
Medtronic,상승
Merck & Co-,상승
Meta Platforms,상승
MetLife,하락
Mettler Toledo,하락
MGM Resorts,하락
Microchip Technology,하락
Micron Technology,하락
Microsoft,상승
Mid-America Apartment Communities,상승
Moderna,하락
Mohawk Industries,하락
Molina Healthcare,상승
Molson Coors Beverage Company,하락
Mondelez International,상승
Monolithic Power Systems,하락
Monster Beverage,상승
Moody's Corporation,하락
Morgan Stanley,하락
Mosaic Company (The),상승
Motorola Solutions,하락
MSCI Inc-,하락
"Nasdaq, Inc-",상승
NetApp,하락
Netflix,상승
Newmont,상승
News Corp (Class A),하락
News Corp (Class B),하락
NextEra Energy,상승
"Nike, Inc-",하락
NiSource,상승
Nordson Corporation,상승
Norfolk Southern,상승
Northern Trust,하락
Northrop Grumman,상승
Norwegian Cruise Line Holdings,상승
NRG Energy,상승
Nucor,상승
Nvidia,하락
"NVR, Inc-",상승
NXP Semiconductors,하락
O’Reilly Automotive,상승
Occidental Petroleum,하락
Old Dominion,하락
Omnicom Group,하락
ON Semiconductor,하락
Oneok,상승
Oracle Corporation,상승
Otis Worldwide,상승
Paccar,하락
Packaging Corporation of America,상승
Palantir Technologies,상승
Palo Alto Networks,상승
Paramount Global,하락
Parker Hannifin,하락
Paychex,상승
Paycom,상승
PayPal,하락
Pentair,하락
PepsiCo,하락
Pfizer,상승
PG&E Corporation,하락
Philip Morris International,상승
Phillips 66,하락
Pinnacle West Capital,상승
PNC Financial Services,하락
Pool Corporation,하락
PPG Industries,하락
PPL Corporation,상승
Principal Financial Group,하락
Procter & Gamble,상승
Progressive Corporation,상승
Prologis,하락
Prudential Financial,하락
Public Service Enterprise Group,상승
PTC Inc-,상승
Public Storage,상승
PulteGroup,하락
Quanta Services,상승
Qualcomm,하락
Quest Diagnostics,상승
Ralph Lauren Corporation,하락
Raymond James Financial,하락
RTX Corporation,상승
Realty Income,상승
Regency Centers,하락
Regeneron Pharmaceuticals,하락
Regions Financial Corporation,하락
Republic Services,상승
ResMed,하락
Revvity,하락
Rockwell Automation,상승
"Rollins, Inc-",상승
Roper Technologies,상승
Ross Stores,상승
Royal Caribbean Group,상승
S&P Global,하락
Salesforce,하락
SBA Communications,상승
Schlumberger,하락
Seagate Technology,하락
Sempra,상승
ServiceNow,하락
Sherwin-Williams,상승
Simon Property Group,하락
Skyworks Solutions,하락
J-M- Smucker Company (The),상승
Smurfit Westrock,하락
Snap-on,하락
Solventum,상승
Southern Company,상승
Southwest Airlines,하락
Stanley Black & Decker,하락
Starbucks,하락
State Street Corporation,하락
Steel Dynamics,하락
Steris,상승
Stryker Corporation,상승
Supermicro,하락
Synchrony Financial,하락
Synopsys,상승
Sysco,상승
T-Mobile US,상승
T- Rowe Price,하락
Take-Two Interactive,상승
"Tapestry, Inc-",상승
Targa Resources,하락
Target Corporation,하락
TE Connectivity,하락
Teledyne Technologies,상승
Teradyne,하락
"Tesla, Inc-",하락
Texas Instruments,하락
Texas Pacific Land Corporation,하락
Textron,상승
Thermo Fisher Scientific,하락
TJX Companies,하락
TKO Group Holdings,상승
Tractor Supply,하락
Trane Technologies,하락
TransDigm Group,상승
Travelers Companies (The),상승
Trimble Inc-,하락
Truist Financial,하락
Tyler Technologies,상승
Tyson Foods,상승
U-S- Bancorp,하락
Uber,하락
"UDR, Inc-",상승
Ulta Beauty,상승
Union Pacific Corporation,하락
United Airlines Holdings,상승
United Parcel Service,하락
United Rentals,하락
UnitedHealth Group,상승
Universal Health Services,하락
Valero Energy,하락
Ventas,상승
Veralto,하락
Verisign,상승
Verisk Analytics,하락
Verizon,상승
Vertex Pharmaceuticals,하락
Viatris,하락
Vici Properties,상승
Visa Inc-,상승
Vistra Corp-,상승
Vulcan Materials Company,하락
W- R- Berkley Corporation,상승
W- W- Grainger,상승
Wabtec,상승
Walgreens Boots Alliance,상승
Walmart,상승
Walt Disney Company (The),상승
Warner Bros- Discovery,하락
Waste Management,상승
Waters Corporation,하락
WEC Energy Group,상승
Wells Fargo,상승
Welltower,상승
West Pharmaceutical Services,상승
Western Digital,하락
Weyerhaeuser,하락
"Williams-Sonoma, Inc-",하락
Williams Companies,상승
Willis Towers Watson,상승
"Workday, Inc-",상승
Wynn Resorts,하락
Xcel Energy,상승
Xylem Inc-,상승
Yum! Brands,하락
Zebra Technologies,하락
Zimmer Biomet,하락
Zoetis,상승
